r,B
17.36,515
17.34,515
17.36,515
17.39,514
17.41,515
17.39,515
17.41,515
17.41,515
17.41,515
17.85,515
17.85,515
18.31,515
18.33,514
18.36,514
18.36,514
18.82,515
18.72,514
18.82,514
18.87,514
18.87,514
18.89,515
18.51,515
18.41,514
18.51,514
18.58,514
18.16,515
18.17,515
18.16,514
18.05,514
18.21,515
17.82,514
17.82,514
17.8,514
17.8,514
18.24,514
18.26,514
18.28,514
18.31,515
18.73,514
18.77,514
18.77,514
19.23,514
19.23,514
19.3,514
19.28,514
19.18,514
19.33,514
19.33,514
19.33,514
18.97,514
18.97,514
18.46,514
18.6,514
19.04,514
18.62,514
18.62,514
18.22,514
18.12,514
18.22,514
18.22,514
18.67,514
18.67,514
18.67,514
18.56,513
18.73,514
19.13,514
19.18,514
19.19,514
19.18,514
19.65,514
19.63,514
19.63,514
19.7,514
19.7,514
19.58,514
19.75,514
19.75,514
19.74,514
19.75,514
19.38,514
19.28,514
19.38,514
19.4,514
19.4,514
19.4,514
19.04,514
18.92,514
19.04,514
18.63,514
18.63,514
18.63,514
19.09,514
18.99,514
19.09,514
19.09,515
19.07,514
19.53,514
19.14,514
19.13,514
19.58,514
19.58,514
19.6,514
20.04,514
19.99,514
20.11,514
20.11,514
20.16,514
20.14,514
20.21,514
19.69,514
19.79,514
20.26,514
19.84,514
19.45,514
19.45,514
19.8,514
19.48,514
19.07,514
19.07,514
19.96,514
19.55,514
19.45,514
20.01,514
20.01,514
20.06,514
20.52,514
20.42,514
20.47,514
20.57,514
20.21,514
20.21,514
20.26,514
19.77,514
19.86,514
20.3,514
19.91,514
19.5,514
19.5,514
19.4,513
19.96,513
19.96,514
19.99,513
20.42,514
20.45,513
20.37,513
20.93,514
20.98,514
20.98,513
20.98,514
20.62,513
20.57,513
20.26,513
20.25,513
20.31,513
19.91,514
19.91,513
19.8,514
20.37,514
20.37,514
20.37,514
20.42,514
20.31,513
20.88,514
20.91,513
20.93,513
21.37,514
21.42,513
20.93,513
21.03,514
21.08,513
21.08,513
21.08,514
20.72,513
20.62,513
20.72,514
20.3,513
20.76,513
20.37,513
20.35,513
20.26,513
20.82,513
20.82,514
20.82,513
21.28,513
21.23,513
21.23,513
21.39,514
21.37,514
21.42,514
21.44,513
21.37,514
21.39,513
21.49,513
21.13,513
21.13,514
21.11,513
21.08,513
21.17,513
20.77,513
20.76,513
21.22,513
21.22,513
21.11,513
21.69,513
21.73,513
21.74,513
21.74,513
21.68,513
22.15,513
21.85,513
22.3,513
21.9,513
21.9,513
21.42,513
21.42,513
21.93,513
21.57,513
21.57,513
21.17,513
21.08,513
21.54,513
21.64,513
21.62,513
21.68,513
21.69,513
22.03,513
22.15,513
22.61,513
22.19,513
22.64,513
22.24,513
22.61,513
22.29,514
22.3,513
22.34,513
22.34,513
21.93,513
21.88,513
22.41,513
22,513
22,513
21.98,513
21.95,513
21.52,513
22.03,513
22.51,513
22.08,513
22.1,513
22.46,513
22.46,513
23,513
22.61,513
22.61,513
23.05,513
22.95,513
23.02,513
22.7,513
23.17,513
22.76,513
22.75,513
22.7,513
22.41,513
22.39,513
22.39,513
22.46,513
22.36,513
22.34,513
22.46,513
22.51,513
22.51,513
22.95,513
22.87,513
22.9,514
23.48,513
23.48,513
23.53,513
23.56,513
23.05,513
23.07,513
23.21,513
22.8,513
22.8,513
22.85,514
22.76,513
22.75,513
22.87,513
22.9,513
22.9,513
22.93,513
23.26,513
23.82,513
23.41,513
23.46,513
23.87,513
23.82,512
23.87,513
23.56,513
23.56,513
23.61,513
23.61,513
23.51,513
23.15,513
23.26,513
23.26,513
23.72,513
23.31,513
23.66,513
23.26,513
23.36,513
23.82,513
23.83,513
23.87,513
24.22,513
24.26,513
23.97,513
23.99,513
23.97,513
23.92,513
23.97,513
23.56,513
23.66,513
24.12,513
23.7,513
23.61,513
24.07,513
23.77,513
24.22,513
24.24,513
24.68,513
24.17,513
24.63,513
24.34,513
24.38,513
24.84,513
24.43,513
24.33,513
24.38,513
24.07,513
24.48,513
24.55,513
24.12,513
24.07,513
24.07,513
24.63,513
24.67,513
25.14,513
25.07,513
24.68,513
24.73,513
25.3,513
24.87,513
24.89,513
24.43,513
24.89,513
24.58,513
25.04,513
25.5,513
25.5,513
25.48,513
25.09,513
25.25,513
25.3,513
